Item,Price,Date,Type of food 
Bananas,0.573,2018-09-01,Fruits
Bananas,0.569,2019-09-01,Fruits
Bananas,0.574,2020-09-01,Fruits
Bananas,0.597,2021-09-01,Fruits
Bananas,0.643,2022-09-01,Fruits
Bananas,0.625,2023-09-01,Fruits
Bananas,0.617,2024-09-01,Fruits
Bananas,0.582,2014-10-01,Fruits
Bananas,0.577,2015-10-01,Fruits
Bananas,0.57,2016-10-01,Fruits
Bananas,0.548,2017-10-01,Fruits
Bananas,0.574,2018-10-01,Fruits
Bananas,0.573,2019-10-01,Fruits
Bananas,0.577,2020-10-01,Fruits
Bananas,0.6,2021-10-01,Fruits
Bananas,0.634,2022-10-01,Fruits
Bananas,0.626,2023-10-01,Fruits
Bananas,0.619,2024-10-01,Fruits
Bananas,0.592,2014-11-01,Fruits
Bananas,0.575,2015-11-01,Fruits
Bananas,0.573,2016-11-01,Fruits
Bananas,0.551,2017-11-01,Fruits
Bananas,0.566,2018-11-01,Fruits
Bananas,0.573,2019-11-01,Fruits
Bananas,0.578,2020-11-01,Fruits
Bananas,0.619,2021-11-01,Fruits
Bananas,0.631,2022-11-01,Fruits
Bananas,0.627,2023-11-01,Fruits
Bananas,0.622,2024-11-01,Fruits
Bananas,0.585,2014-12-01,Fruits
Bananas,0.58,2015-12-01,Fruits
Bananas,0.576,2016-12-01,Fruits
Bananas,0.558,2017-12-01,Fruits
Bananas,0.577,2018-12-01,Fruits
Bananas,0.573,2019-12-01,Fruits
Bananas,0.572,2020-12-01,Fruits
Bananas,0.622,2021-12-01,Fruits
Bananas,0.628,2022-12-01,Fruits
Bananas,0.625,2023-12-01,Fruits
Bananas,0.615,2024-12-01,Fruits
Bread,1.365,2014-01-01,Grains
Bread,1.479,2015-01-01,Grains
Bread,1.425,2016-01-01,Grains
Bread,1.351,2017-01-01,Grains
Bread,1.281,2018-01-01,Grains
Bread,1.274,2019-01-01,Grains
Bread,1.351,2020-01-01,Grains
Bread,1.546,2021-01-01,Grains
Bread,1.555,2022-01-01,Grains
Bread,1.888,2023-01-01,Grains
Bread,2.033,2024-01-01,Grains
Bread,1.388,2014-02-01,Grains
Bread,1.435,2015-02-01,Grains
Bread,1.407,2016-02-01,Grains
Bread,1.358,2017-02-01,Grains
Bread,1.265,2018-02-01,Grains
Bread,1.282,2019-02-01,Grains
Bread,1.375,2020-02-01,Grains
Bread,1.537,2021-02-01,Grains
Bread,1.578,2022-02-01,Grains
Bread,1.896,2023-02-01,Grains
Bread,2.006,2024-02-01,Grains
Bread,1.359,2014-03-01,Grains
Bread,1.44,2015-03-01,Grains
Bread,1.416,2016-03-01,Grains
Bread,1.329,2017-03-01,Grains
Bread,1.309,2018-03-01,Grains
Bread,1.261,2019-03-01,Grains
Bread,1.374,2020-03-01,Grains
Bread,1.526,2021-03-01,Grains
Bread,1.607,2022-03-01,Grains
Bread,1.936,2023-03-01,Grains
Bread,1.997,2024-03-01,Grains
Bread,1.388,2014-04-01,Grains
Bread,1.454,2015-04-01,Grains
Bread,1.406,2016-04-01,Grains
Bread,1.328,2017-04-01,Grains
Bread,1.281,2018-04-01,Grains
Bread,1.285,2019-04-01,Grains
Bread,1.406,2020-04-01,Grains
Bread,1.51,2021-04-01,Grains
Bread,1.612,2022-04-01,Grains
Bread,1.989,2023-04-01,Grains
Bread,1.998,2024-04-01,Grains
Bread,1.401,2014-05-01,Grains
Bread,1.463,2015-05-01,Grains
Bread,1.382,2016-05-01,Grains
Bread,1.327,2017-05-01,Grains
Bread,1.293,2018-05-01,Grains
Bread,1.289,2019-05-01,Grains
Bread,1.412,2020-05-01,Grains
Bread,1.511,2021-05-01,Grains
Bread,1.606,2022-05-01,Grains
Bread,1.951,2023-05-01,Grains
Bread,1.971,2024-05-01,Grains
Bread,1.4,2014-06-01,Grains
Bread,1.467,2015-06-01,Grains
Bread,1.333,2016-06-01,Grains
Bread,1.335,2017-06-01,Grains
Bread,1.279,2018-06-01,Grains
Bread,1.28,2019-06-01,Grains
Bread,1.474,2020-06-01,Grains
Bread,1.51,2021-06-01,Grains
Bread,1.691,2022-06-01,Grains
Bread,1.937,2023-06-01,Grains
Bread,1.973,2024-06-01,Grains
Bread,1.413,2014-07-01,Grains
Bread,1.447,2015-07-01,Grains
Bread,1.349,2016-07-01,Grains
Bread,1.327,2017-07-01,Grains
Bread,1.293,2018-07-01,Grains
Bread,1.281,2019-07-01,Grains
Bread,1.485,2020-07-01,Grains
Bread,1.491,2021-07-01,Grains
Bread,1.715,2022-07-01,Grains
Bread,1.98,2023-07-01,Grains
Bread,1.975,2024-07-01,Grains
Bread,1.396,2014-08-01,Grains
Bread,1.42,2015-08-01,Grains
Bread,1.341,2016-08-01,Grains
Bread,1.348,2017-08-01,Grains
Bread,1.302,2018-08-01,Grains
Bread,1.275,2019-08-01,Grains
Bread,1.495,2020-08-01,Grains
Bread,1.467,2021-08-01,Grains
Bread,1.756,2022-08-01,Grains
Bread,1.97,2023-08-01,Grains
Bread,1.951,2024-08-01,Grains
Bread,1.405,2014-09-01,Grains
Bread,1.432,2015-09-01,Grains
Bread,1.329,2016-09-01,Grains
Bread,1.349,2017-09-01,Grains
Bread,1.288,2018-09-01,Grains
Bread,1.296,2019-09-01,Grains
Bread,1.492,2020-09-01,Grains
Bread,1.58,2021-09-01,Grains
Bread,1.749,2022-09-01,Grains
Bread,1.972,2023-09-01,Grains
Bread,1.976,2024-09-01,Grains
Bread,1.414,2014-10-01,Grains
Bread,1.418,2015-10-01,Grains
Bread,1.343,2016-10-01,Grains
Bread,1.328,2017-10-01,Grains
Bread,1.277,2018-10-01,Grains
Bread,1.325,2019-10-01,Grains
Bread,1.503,2020-10-01,Grains
Bread,1.526,2021-10-01,Grains
Bread,1.814,2022-10-01,Grains
Bread,2.002,2023-10-01,Grains
Bread,1.937,2024-10-01,Grains
Bread,1.42,2014-11-01,Grains
Bread,1.409,2015-11-01,Grains
Bread,1.362,2016-11-01,Grains
Bread,1.295,2017-11-01,Grains
Bread,1.274,2018-11-01,Grains
Bread,1.361,2019-11-01,Grains
Bread,1.515,2020-11-01,Grains
Bread,1.547,2021-11-01,Grains
Bread,1.847,2022-11-01,Grains
Bread,1.976,2023-11-01,Grains
Bread,1.916,2024-11-01,Grains
Bread,1.466,2014-12-01,Grains
Bread,1.428,2015-12-01,Grains
Bread,1.362,2016-12-01,Grains
Bread,1.316,2017-12-01,Grains
Bread,1.29,2018-12-01,Grains
Bread,1.363,2019-12-01,Grains
Bread,1.538,2020-12-01,Grains
Bread,1.532,2021-12-01,Grains
Bread,1.873,2022-12-01,Grains
Bread,2.024,2023-12-01,Grains
Bread,1.912,2024-12-01,Grains
Chicken,1.529,2014-01-01,Protein
Chicken,1.546,2015-01-01,Protein
Chicken,1.429,2016-01-01,Protein
Chicken,1.418,2017-01-01,Protein
Chicken,1.509,2018-01-01,Protein
Chicken,1.473,2019-01-01,Protein
Chicken,1.409,2020-01-01,Protein
Chicken,1.595,2021-01-01,Protein
Chicken,1.622,2022-01-01,Protein
Chicken,1.855,2023-01-01,Protein
Chicken,1.987,2024-01-01,Protein
Chicken,1.504,2014-02-01,Protein
Chicken,1.55,2015-02-01,Protein
Chicken,1.478,2016-02-01,Protein
Chicken,1.473,2017-02-01,Protein
Chicken,1.478,2018-02-01,Protein
Chicken,1.486,2019-02-01,Protein
Chicken,1.362,2020-02-01,Protein
Chicken,1.583,2021-02-01,Protein
Chicken,1.632,2022-02-01,Protein
Chicken,1.894,2023-02-01,Protein
Chicken,1.951,2024-02-01,Protein
Chicken,1.544,2014-03-01,Protein
Chicken,1.545,2015-03-01,Protein
Chicken,1.463,2016-03-01,Protein
Chicken,1.462,2017-03-01,Protein
Chicken,1.502,2018-03-01,Protein
Chicken,1.468,2019-03-01,Protein
Chicken,1.4,2020-03-01,Protein
Chicken,1.543,2021-03-01,Protein
Chicken,1.724,2022-03-01,Protein
Chicken,1.868,2023-03-01,Protein
Chicken,1.991,2024-03-01,Protein
Chicken,1.53,2014-04-01,Protein
Chicken,1.539,2015-04-01,Protein
Chicken,1.496,2016-04-01,Protein
Chicken,1.444,2017-04-01,Protein
Chicken,1.511,2018-04-01,Protein
Chicken,1.463,2019-04-01,Protein
Chicken,1.571,2020-04-01,Protein
Chicken,1.515,2021-04-01,Protein
Chicken,1.794,2022-04-01,Protein
Chicken,1.873,2023-04-01,Protein
Chicken,1.953,2024-04-01,Protein
Chicken,1.556,2014-05-01,Protein
Chicken,1.483,2015-05-01,Protein
Chicken,1.489,2016-05-01,Protein
Chicken,1.499,2017-05-01,Protein
Chicken,1.523,2018-05-01,Protein
Chicken,1.479,2019-05-01,Protein
Chicken,,2020-05-01,Protein
Chicken,1.486,2021-05-01,Protein
Chicken,1.824,2022-05-01,Protein
Chicken,1.92,2023-05-01,Protein
Chicken,2.013,2024-05-01,Protein
Chicken,1.503,2014-06-01,Protein
Chicken,1.515,2015-06-01,Protein
Chicken,1.408,2016-06-01,Protein
Chicken,1.497,2017-06-01,Protein
Chicken,1.514,2018-06-01,Protein
Chicken,1.59,2019-06-01,Protein
Chicken,1.747,2020-06-01,Protein
Chicken,1.474,2021-06-01,Protein
Chicken,1.826,2022-06-01,Protein
Chicken,1.953,2023-06-01,Protein
Chicken,2.007,2024-06-01,Protein
Chicken,1.495,2014-07-01,Protein
Chicken,1.487,2015-07-01,Protein
Chicken,1.445,2016-07-01,Protein
Chicken,1.496,2017-07-01,Protein
Chicken,1.519,2018-07-01,Protein
Chicken,1.562,2019-07-01,Protein
Chicken,1.712,2020-07-01,Protein
Chicken,1.435,2021-07-01,Protein
Chicken,1.88,2022-07-01,Protein
Chicken,1.891,2023-07-01,Protein
Chicken,1.988,2024-07-01,Protein
Chicken,1.572,2014-08-01,Protein
Chicken,1.428,2015-08-01,Protein
Chicken,1.426,2016-08-01,Protein
Chicken,1.489,2017-08-01,Protein
Chicken,1.511,2018-08-01,Protein
Chicken,1.514,2019-08-01,Protein
Chicken,1.609,2020-08-01,Protein
Chicken,1.472,2021-08-01,Protein
Chicken,1.879,2022-08-01,Protein
Chicken,1.958,2023-08-01,Protein
Chicken,1.988,2024-08-01,Protein
Chicken,1.543,2014-09-01,Protein
Chicken,1.415,2015-09-01,Protein
Chicken,1.487,2016-09-01,Protein
Chicken,1.48,2017-09-01,Protein
Chicken,1.487,2018-09-01,Protein
Chicken,1.487,2019-09-01,Protein
Chicken,1.542,2020-09-01,Protein
Chicken,1.504,2021-09-01,Protein
Chicken,1.891,2022-09-01,Protein
Chicken,1.901,2023-09-01,Protein
Chicken,1.979,2024-09-01,Protein
Chicken,1.549,2014-10-01,Protein
Chicken,1.43,2015-10-01,Protein
Chicken,1.502,2016-10-01,Protein
Chicken,1.484,2017-10-01,Protein
Chicken,1.444,2018-10-01,Protein
Chicken,1.538,2019-10-01,Protein
Chicken,1.58,2020-10-01,Protein
Chicken,1.523,2021-10-01,Protein
Chicken,1.863,2022-10-01,Protein
Chicken,1.926,2023-10-01,Protein
Chicken,1.987,2024-10-01,Protein
Chicken,1.533,2014-11-01,Protein
Chicken,1.484,2015-11-01,Protein
Chicken,1.478,2016-11-01,Protein
Chicken,1.451,2017-11-01,Protein
Chicken,1.501,2018-11-01,Protein
Chicken,1.43,2019-11-01,Protein
Chicken,1.639,2020-11-01,Protein
Chicken,1.583,2021-11-01,Protein
Chicken,1.843,2022-11-01,Protein
Chicken,1.976,2023-11-01,Protein
Chicken,2.076,2024-11-01,Protein
Chicken,1.541,2014-12-01,Protein
Chicken,1.437,2015-12-01,Protein
Chicken,1.463,2016-12-01,Protein
Chicken,1.47,2017-12-01,Protein
Chicken,1.466,2018-12-01,Protein
Chicken,1.45,2019-12-01,Protein
Chicken,1.621,2020-12-01,Protein
Chicken,1.606,2021-12-01,Protein
Chicken,1.83,2022-12-01,Protein
Chicken,1.955,2023-12-01,Protein
Chicken,2.061,2024-12-01,Protein
Eggs,2.008,2014-01-01,Protein
Eggs,2.113,2015-01-01,Protein
Eggs,2.328,2016-01-01,Protein
Eggs,1.599,2017-01-01,Protein
Eggs,1.769,2018-01-01,Protein
Eggs,1.554,2019-01-01,Protein
Eggs,1.461,2020-01-01,Protein
Eggs,1.466,2021-01-01,Protein
Eggs,1.929,2022-01-01,Protein
Eggs,4.823,2023-01-01,Protein
Eggs,2.522,2024-01-01,Protein
Eggs,1.998,2014-02-01,Protein
Eggs,2.088,2015-02-01,Protein
Eggs,2.267,2016-02-01,Protein
Eggs,1.464,2017-02-01,Protein
Eggs,1.755,2018-02-01,Protein
Eggs,1.557,2019-02-01,Protein
Eggs,1.449,2020-02-01,Protein
Eggs,1.597,2021-02-01,Protein
Eggs,2.005,2022-02-01,Protein
Eggs,4.211,2023-02-01,Protein
Eggs,2.996,2024-02-01,Protein
Eggs,2.061,2014-03-01,Protein
Eggs,2.133,2015-03-01,Protein
Eggs,2.081,2016-03-01,Protein
Eggs,1.404,2017-03-01,Protein
Eggs,1.831,2018-03-01,Protein
Eggs,1.544,2019-03-01,Protein
Eggs,1.525,2020-03-01,Protein
Eggs,1.625,2021-03-01,Protein
Eggs,2.046,2022-03-01,Protein
Eggs,3.446,2023-03-01,Protein
Eggs,2.992,2024-03-01,Protein
Eggs,2.119,2014-04-01,Protein
Eggs,2.065,2015-04-01,Protein
Eggs,1.793,2016-04-01,Protein
Eggs,1.409,2017-04-01,Protein
Eggs,2.081,2018-04-01,Protein
Eggs,1.463,2019-04-01,Protein
Eggs,2.019,2020-04-01,Protein
Eggs,1.62,2021-04-01,Protein
Eggs,2.52,2022-04-01,Protein
Eggs,3.27,2023-04-01,Protein
Eggs,2.864,2024-04-01,Protein
Eggs,1.996,2014-05-01,Protein
Eggs,1.962,2015-05-01,Protein
Eggs,1.684,2016-05-01,Protein
Eggs,1.414,2017-05-01,Protein
Eggs,1.987,2018-05-01,Protein
Eggs,1.362,2019-05-01,Protein
Eggs,1.64,2020-05-01,Protein
Eggs,1.625,2021-05-01,Protein
Eggs,2.863,2022-05-01,Protein
Eggs,2.666,2023-05-01,Protein
Eggs,2.699,2024-05-01,Protein
Eggs,1.948,2014-06-01,Protein
Eggs,2.57,2015-06-01,Protein
Eggs,1.491,2016-06-01,Protein
Eggs,1.332,2017-06-01,Protein
Eggs,1.628,2018-06-01,Protein
Eggs,1.203,2019-06-01,Protein
Eggs,1.554,2020-06-01,Protein
Eggs,1.642,2021-06-01,Protein
Eggs,2.707,2022-06-01,Protein
Eggs,2.219,2023-06-01,Protein
Eggs,2.715,2024-06-01,Protein
Eggs,1.95,2014-07-01,Protein
Eggs,2.57,2015-07-01,Protein
Eggs,1.546,2016-07-01,Protein
Eggs,1.333,2017-07-01,Protein
Eggs,1.725,2018-07-01,Protein
Eggs,1.243,2019-07-01,Protein
Eggs,1.401,2020-07-01,Protein
Eggs,1.642,2021-07-01,Protein
Eggs,2.936,2022-07-01,Protein
Eggs,2.094,2023-07-01,Protein
Eggs,3.08,2024-07-01,Protein
Eggs,1.979,2014-08-01,Protein
Eggs,2.943,2015-08-01,Protein
Eggs,1.455,2016-08-01,Protein
Eggs,1.367,2017-08-01,Protein
Eggs,1.622,2018-08-01,Protein
Eggs,1.219,2019-08-01,Protein
Eggs,1.328,2020-08-01,Protein
Eggs,1.709,2021-08-01,Protein
Eggs,3.116,2022-08-01,Protein
Eggs,2.043,2023-08-01,Protein
Eggs,3.204,2024-08-01,Protein
Eggs,1.97,2014-09-01,Protein
Eggs,2.966,2015-09-01,Protein
Eggs,1.471,2016-09-01,Protein
Eggs,1.422,2017-09-01,Protein
Eggs,1.651,2018-09-01,Protein
Eggs,1.383,2019-09-01,Protein
Eggs,1.353,2020-09-01,Protein
Eggs,1.835,2021-09-01,Protein
Eggs,2.902,2022-09-01,Protein
Eggs,2.065,2023-09-01,Protein
Eggs,3.821,2024-09-01,Protein
Eggs,1.951,2014-10-01,Protein
Eggs,2.808,2015-10-01,Protein
Eggs,1.39,2016-10-01,Protein
Eggs,1.54,2017-10-01,Protein
Eggs,1.66,2018-10-01,Protein
Eggs,1.282,2019-10-01,Protein
Eggs,1.408,2020-10-01,Protein
Eggs,1.821,2021-10-01,Protein
Eggs,3.419,2022-10-01,Protein
Eggs,2.072,2023-10-01,Protein
Eggs,3.37,2024-10-01,Protein
Eggs,2.032,2014-11-01,Protein
Eggs,2.664,2015-11-01,Protein
Eggs,1.321,2016-11-01,Protein
Eggs,1.506,2017-11-01,Protein
Eggs,1.596,2018-11-01,Protein
Eggs,1.405,2019-11-01,Protein
Eggs,1.45,2020-11-01,Protein
Eggs,1.718,2021-11-01,Protein
Eggs,3.589,2022-11-01,Protein
Eggs,2.138,2023-11-01,Protein
Eggs,3.649,2024-11-01,Protein
Eggs,2.21,2014-12-01,Protein
Eggs,2.751,2015-12-01,Protein
Eggs,1.383,2016-12-01,Protein
Eggs,1.815,2017-12-01,Protein
Eggs,1.595,2018-12-01,Protein
Eggs,1.535,2019-12-01,Protein
Eggs,1.481,2020-12-01,Protein
Eggs,1.788,2021-12-01,Protein
Eggs,4.25,2022-12-01,Protein
Eggs,2.507,2023-12-01,Protein
Eggs,4.146,2024-12-01,Protein
Flour,0.543,2014-01-01,Grains 
Flour,0.545,2015-01-01,Grains 
Flour,0.522,2016-01-01,Grains 
Flour,0.53,2017-01-01,Grains 
Flour,0.471,2018-01-01,Grains 
Flour,0.439,2019-01-01,Grains 
Flour,0.438,2020-01-01,Grains 
Flour,0.446,2021-01-01,Grains 
Flour,0.424,2022-01-01,Grains 
Flour,0.54,2023-01-01,Grains 
Flour,0.554,2024-01-01,Grains 
Flour,0.555,2014-02-01,Grains 
Flour,0.525,2015-02-01,Grains 
Flour,0.522,2016-02-01,Grains 
Flour,0.526,2017-02-01,Grains 
Flour,0.47,2018-02-01,Grains 
Flour,0.443,2019-02-01,Grains 
Flour,0.438,2020-02-01,Grains 
Flour,0.44,2021-02-01,Grains 
Flour,0.428,2022-02-01,Grains 
Flour,0.55,2023-02-01,Grains 
Flour,0.558,2024-02-01,Grains 
Flour,0.551,2014-03-01,Grains 
Flour,0.518,2015-03-01,Grains 
Flour,0.512,2016-03-01,Grains 
Flour,0.531,2017-03-01,Grains 
Flour,0.468,2018-03-01,Grains 
Flour,0.445,2019-03-01,Grains 
Flour,0.442,2020-03-01,Grains 
Flour,0.436,2021-03-01,Grains 
Flour,0.448,2022-03-01,Grains 
Flour,0.546,2023-03-01,Grains 
Flour,0.565,2024-03-01,Grains 
Flour,0.547,2014-04-01,Grains 
Flour,0.509,2015-04-01,Grains 
Flour,0.521,2016-04-01,Grains 
Flour,0.516,2017-04-01,Grains 
Flour,0.472,2018-04-01,Grains 
Flour,0.434,2019-04-01,Grains 
Flour,,2020-04-01,Grains 
Flour,0.437,2021-04-01,Grains 
Flour,0.455,2022-04-01,Grains 
Flour,0.542,2023-04-01,Grains 
Flour,0.574,2024-04-01,Grains 
Flour,0.532,2014-05-01,Grains 
Flour,0.52,2015-05-01,Grains 
Flour,0.525,2016-05-01,Grains 
Flour,0.517,2017-05-01,Grains 
Flour,0.469,2018-05-01,Grains 
Flour,0.454,2019-05-01,Grains 
Flour,0.461,2020-05-01,Grains 
Flour,0.439,2021-05-01,Grains 
Flour,0.456,2022-05-01,Grains 
Flour,0.544,2023-05-01,Grains 
Flour,0.57,2024-05-01,Grains 
Flour,0.532,2014-06-01,Grains 
Flour,0.519,2015-06-01,Grains 
Flour,0.529,2016-06-01,Grains 
Flour,0.507,2017-06-01,Grains 
Flour,0.469,2018-06-01,Grains 
Flour,0.448,2019-06-01,Grains 
Flour,0.468,2020-06-01,Grains 
Flour,0.356,2021-06-01,Grains 
Flour,0.498,2022-06-01,Grains 
Flour,0.551,2023-06-01,Grains 
Flour,0.575,2024-06-01,Grains 
Flour,0.527,2014-07-01,Grains 
Flour,0.515,2015-07-01,Grains 
Flour,0.543,2016-07-01,Grains 
Flour,0.512,2017-07-01,Grains 
Flour,0.468,2018-07-01,Grains 
Flour,0.454,2019-07-01,Grains 
Flour,0.461,2020-07-01,Grains 
Flour,0.368,2021-07-01,Grains 
Flour,0.533,2022-07-01,Grains 
Flour,0.564,2023-07-01,Grains 
Flour,0.574,2024-07-01,Grains 
Flour,0.531,2014-08-01,Grains 
Flour,0.524,2015-08-01,Grains 
Flour,0.546,2016-08-01,Grains 
Flour,0.512,2017-08-01,Grains 
Flour,0.464,2018-08-01,Grains 
Flour,0.45,2019-08-01,Grains 
Flour,0.459,2020-08-01,Grains 
Flour,0.371,2021-08-01,Grains 
Flour,0.549,2022-08-01,Grains 
Flour,0.566,2023-08-01,Grains 
Flour,0.574,2024-08-01,Grains 
Flour,0.513,2014-09-01,Grains 
Flour,0.517,2015-09-01,Grains 
Flour,0.547,2016-09-01,Grains 
Flour,0.505,2017-09-01,Grains 
Flour,0.467,2018-09-01,Grains 
Flour,0.449,2019-09-01,Grains 
Flour,0.451,2020-09-01,Grains 
Flour,0.382,2021-09-01,Grains 
Flour,0.556,2022-09-01,Grains 
Flour,0.565,2023-09-01,Grains 
Flour,0.573,2024-09-01,Grains 
Flour,0.501,2014-10-01,Grains 
Flour,0.511,2015-10-01,Grains 
Flour,0.523,2016-10-01,Grains 
Flour,0.5,2017-10-01,Grains 
Flour,0.453,2018-10-01,Grains 
Flour,0.432,2019-10-01,Grains 
Flour,0.452,2020-10-01,Grains 
Flour,0.396,2021-10-01,Grains 
Flour,0.534,2022-10-01,Grains 
Flour,0.562,2023-10-01,Grains 
Flour,0.566,2024-10-01,Grains 
Flour,0.515,2014-11-01,Grains 
Flour,0.496,2015-11-01,Grains 
Flour,0.507,2016-11-01,Grains 
Flour,0.469,2017-11-01,Grains 
Flour,0.433,2018-11-01,Grains 
Flour,0.417,2019-11-01,Grains 
Flour,0.445,2020-11-01,Grains 
Flour,0.386,2021-11-01,Grains 
Flour,0.524,2022-11-01,Grains 
Flour,0.541,2023-11-01,Grains 
Flour,0.552,2024-11-01,Grains 
Flour,0.511,2014-12-01,Grains 
Flour,0.501,2015-12-01,Grains 
Flour,0.503,2016-12-01,Grains 
Flour,0.462,2017-12-01,Grains 
Flour,0.437,2018-12-01,Grains 
Flour,0.429,2019-12-01,Grains 
Flour,0.45,2020-12-01,Grains 
Flour,0.388,2021-12-01,Grains 
Flour,0.522,2022-12-01,Grains 
Flour,0.538,2023-12-01,Grains 
Flour,0.548,2024-12-01,Grains 
Lemons,1.687,2014-01-01,Fruits
Lemons,1.86,2015-01-01,Fruits
Lemons,1.956,2016-01-01,Fruits
Lemons,1.937,2017-01-01,Fruits
Lemons,2.045,2018-01-01,Fruits
Lemons,2.363,2019-01-01,Fruits
Lemons,1.949,2020-01-01,Fruits
Lemons,,2021-01-01,Fruits
Lemons,2.078,2022-01-01,Fruits
Lemons,2.194,2023-01-01,Fruits
Lemons,2.087,2024-01-01,Fruits
Lemons,1.667,2014-02-01,Fruits
Lemons,1.868,2015-02-01,Fruits
Lemons,1.922,2016-02-01,Fruits
Lemons,1.97,2017-02-01,Fruits
Lemons,2.06,2018-02-01,Fruits
Lemons,2.27,2019-02-01,Fruits
Lemons,1.959,2020-02-01,Fruits
Lemons,,2021-02-01,Fruits
Lemons,,2022-02-01,Fruits
Lemons,2.157,2023-02-01,Fruits
Lemons,2.036,2024-02-01,Fruits
Lemons,1.71,2014-03-01,Fruits
Lemons,1.664,2015-03-01,Fruits
Lemons,1.917,2016-03-01,Fruits
Lemons,1.914,2017-03-01,Fruits
Lemons,2.06,2018-03-01,Fruits
Lemons,2.276,2019-03-01,Fruits
Lemons,,2020-03-01,Fruits
Lemons,,2021-03-01,Fruits
Lemons,2.095,2022-03-01,Fruits
Lemons,2.174,2023-03-01,Fruits
Lemons,2.034,2024-03-01,Fruits
Lemons,1.743,2014-04-01,Fruits
Lemons,1.75,2015-04-01,Fruits
Lemons,2.027,2016-04-01,Fruits
Lemons,1.933,2017-04-01,Fruits
